"GEO_ID","NAME","B01003_001E","B01003_001EA","B01003_001M","B01003_001MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"8600000US02032","ZCTA5 02032","4194","null","500","null",
"8600000US02035","ZCTA5 02035","17727","null","28","null",
"8600000US02038","ZCTA5 02038","33256","null","36","null",
"8600000US02043","ZCTA5 02043","23652","null","22","null",
"8600000US02045","ZCTA5 02045","10455","null","24","null",
"8600000US02047","ZCTA5 02047","97","null","60","null",
"8600000US02048","ZCTA5 02048","23947","null","30","null",
"8600000US02050","ZCTA5 02050","26222","null","285","null",
"8600000US02052","ZCTA5 02052","12841","null","35","null",
"8600000US02053","ZCTA5 02053","13325","null","20","null",
"8600000US02054","ZCTA5 02054","8233","null","23","null",
"8600000US02056","ZCTA5 02056","11309","null","192","null",
"8600000US02061","ZCTA5 02061","11054","null","18","null",
"8600000US02062","ZCTA5 02062","29306","null","31","null",
"8600000US02066","ZCTA5 02066","18239","null","286","null",
"8600000US02067","ZCTA5 02067","18508","null","45","null",
"8600000US02071","ZCTA5 02071","1526","null","432","null",
"8600000US02072","ZCTA5 02072","28639","null","41","null",
"8600000US02081","ZCTA5 02081","19904","null","628","null",
"8600000US02090","ZCTA5 02090","16154","null","40","null",
"8600000US02093","ZCTA5 02093","11823","null","39","null",
"8600000US02108","ZCTA5 02108","4454","null","479","null",
"8600000US02109","ZCTA5 02109","4190","null","885","null",
"8600000US02110","ZCTA5 02110","2314","null","363","null",
"8600000US02111","ZCTA5 02111","7926","null","675","null",
"8600000US02113","ZCTA5 02113","6966","null","405","null",
"8600000US02114","ZCTA5 02114","13335","null","669","null",
"8600000US02115","ZCTA5 02115","28652","null","994","null",
"8600000US02116","ZCTA5 02116","23157","null","979","null",
"8600000US02118","ZCTA5 02118","28262","null","1258","null",
"8600000US02119","ZCTA5 02119","27818","null","1146","null",
"8600000US02120","ZCTA5 02120","15188","null","1201","null",
"8600000US02121","ZCTA5 02121","30159","null","1461","null",
"8600000US02122","ZCTA5 02122","24485","null","1125","null",
"8600000US02124","ZCTA5 02124","56649","null","1933","null",
"8600000US02125","ZCTA5 02125","34847","null","1175","null",
"8600000US02126","ZCTA5 02126","29620","null","1733","null",
"8600000US02127","ZCTA5 02127","37634","null","1080","null",
"8600000US02128","ZCTA5 02128","47263","null","1593","null",
"8600000US02129","ZCTA5 02129","19890","null","753","null",
"8600000US02130","ZCTA5 02130","40749","null","1364","null",
"8600000US02131","ZCTA5 02131","34419","null","1322","null",
"8600000US02132","ZCTA5 02132","27801","null","866","null",
"8600000US02134","ZCTA5 02134","19907","null","948","null",
"8600000US02135","ZCTA5 02135","44951","null","1296","null",
"8600000US02136","ZCTA5 02136","35213","null","1548","null",
